;Náme;;Name;NAME;MESO_NAME
1;Abaíra;;Abaira;ABAIRA;Centro-Sul Baiano
2;Abaré;;Abare;ABARE;Vale São-Franciscano da Bahia
3;Acajutiba;;Acajutiba;ACAJUTIBA;Nordeste Baiano
4;Adustina;;Adustina;ADUSTINA;Nordeste Baiano
5;Água Fria;;Agua Fria;AGUA FRIA;Centro-Norte Baiano
6;Érico Cardoso;;Erico Cardoso;ERICO CARDOSO;Centro-Sul Baiano
7;Aiquara;;Aiquara;AIQUARA;Centro-Sul Baiano
8;Alagoinhas;;Alagoinhas;ALAGOINHAS;Nordeste Baiano
9;Alcobaça;;Alcobaca;ALCOBACA;Sul Baiano
10;Almadina;;Almadina;ALMADINA;Sul Baiano
11;Amargosa;;Amargosa;AMARGOSA;Centro-Sul Baiano
12;Amélia Rodrigues;;Amelia Rodrigues;AMELIA RODRIGUES;Mesorregião Metropolitana de Salvador
13;América Dourada;;America Dourada;AMERICA DOURADA;Centro-Norte Baiano
14;Anagé;;Anage;ANAGE;Centro-Sul Baiano
15;Andaraí;;Andarai;ANDARAI;Centro-Sul Baiano
16;Andorinha;;Andorinha;ANDORINHA;Centro-Norte Baiano
17;Angical;;Angical;ANGICAL;Extremo Oeste Baiano
18;Anguera;;Anguera;ANGUERA;Centro-Norte Baiano
19;Antas;;Antas;ANTAS;Nordeste Baiano
20;Antônio Cardoso;;Antonio Cardoso;ANTONIO CARDOSO;Centro-Norte Baiano
21;Antônio Gonçalves;;Antonio Goncalves;ANTONIO GONCALVES;Centro-Norte Baiano
22;Aporá;;Apora;APORA;Nordeste Baiano
23;Apuarema;;Apuarema;APUAREMA;Centro-Sul Baiano
24;Aracatu;;Aracatu;ARACATU;Centro-Sul Baiano
25;Araças;;Aracas;ARACAS;Nordeste Baiano
26;Araci;;Araci;ARACI;Nordeste Baiano
27;Aramari;;Aramari;ARAMARI;Nordeste Baiano
28;Arataca;;Arataca;ARATACA;Sul Baiano
29;Aratuípe;;Aratuipe;ARATUIPE;Mesorregião Metropolitana de Salvador
30;Aurelino Leal;;Aurelino Leal;AURELINO LEAL;Sul Baiano
31;Baianópolis;;Baianopolis;BAIANOPOLIS;Extremo Oeste Baiano
32;Baixa Grande;;Baixa Grande;BAIXA GRANDE;Centro-Norte Baiano
33;Banzaê;;Banzae;BANZAE;Nordeste Baiano
34;Barra;;Barra;BARRA;Vale São-Franciscano da Bahia
35;Barra Da Estiva;;Barra Da Estiva;BARRA DA ESTIVA;Centro-Sul Baiano
36;Barra Do Choça;;Barra Do Choca;BARRA DO CHOCA;Centro-Sul Baiano
37;Barra Do Mendes;;Barra Do Mendes;BARRA DO MENDES;Centro-Norte Baiano
38;Barra Do Rocha;;Barra Do Rocha;BARRA DO ROCHA;Sul Baiano
39;Barreiras;;Barreiras;BARREIRAS;Extremo Oeste Baiano
40;Barro Alto;;Barro Alto;BARRO ALTO;Centro-Norte Baiano
41;Barrocas;;Barrocas;BARROCAS;Nordeste Baiano
42;Barro Preto;;Barro Preto;BARRO PRETO;Sul Baiano
43;Belmonte;;Belmonte;BELMONTE;Sul Baiano
44;Belo Campo;;Belo Campo;BELO CAMPO;Centro-Sul Baiano
45;Biritinga;;Biritinga;BIRITINGA;Nordeste Baiano
46;Boa Nova;;Boa Nova;BOA NOVA;Centro-Sul Baiano
47;Boa Vista Do Tupim;;Boa Vista Do Tupim;BOA VISTA DO TUPIM;Centro-Norte Baiano
48;Bom Jesus Da Lapa;;Bom Jesus Da Lapa;BOM JESUS DA LAPA;Vale São-Franciscano da Bahia
49;Bom Jesus Da Serra;;Bom Jesus Da Serra;BOM JESUS DA SERRA;Centro-Sul Baiano
50;Boninal;;Boninal;BONINAL;Centro-Sul Baiano
51;Bonito;;Bonito;BONITO;Centro-Sul Baiano
52;Boquira;;Boquira;BOQUIRA;Centro-Sul Baiano
53;Botuporã;;Botupora;BOTUPORA;Centro-Sul Baiano
54;Brejões;;Brejoes;BREJOES;Centro-Sul Baiano
55;Brejolândia;;Brejolandia;BREJOLANDIA;Extremo Oeste Baiano
56;Brotas De Macaúbas;;Brotas De Macaubas;BROTAS DE MACAUBAS;Centro-Sul Baiano
57;Brumado;;Brumado;BRUMADO;Centro-Sul Baiano
58;Buerarema;;Buerarema;BUERAREMA;Sul Baiano
59;Buritirama;;Buritirama;BURITIRAMA;Vale São-Franciscano da Bahia
60;Caatiba;;Caatiba;CAATIBA;Centro-Sul Baiano
61;Cabaceiras Do Paraguaçu;;Cabaceiras Do Paraguacu;CABACEIRAS DO PARAGUACU;Mesorregião Metropolitana de Salvador
62;Cachoeira;;Cachoeira;CACHOEIRA;Mesorregião Metropolitana de Salvador
63;Caculé;;Cacule;CACULE;Centro-Sul Baiano
64;Caém;;Caem;CAEM;Centro-Norte Baiano
65;Caetanos;;Caetanos;CAETANOS;Centro-Sul Baiano
66;Caetité;;Caetite;CAETITE;Centro-Sul Baiano
67;Cafarnaum;;Cafarnaum;CAFARNAUM;Centro-Norte Baiano
68;Cairu;;Cairu;CAIRU;Sul Baiano
69;Caldeirão Grande;;Caldeirao Grande;CALDEIRAO GRANDE;Centro-Norte Baiano
70;Camacan;;Camacan;CAMACAN;Sul Baiano
71;Camaçari;;Camacari;CAMACARI;Mesorregião Metropolitana de Salvador
72;Camamu;;Camamu;CAMAMU;Sul Baiano
73;Campo Alegre De Lourdes;;Campo Alegre De Lourdes;CAMPO ALEGRE DE LOURDES;Vale São-Franciscano da Bahia
74;Campo Formoso;;Campo Formoso;CAMPO FORMOSO;Centro-Norte Baiano
75;Canápolis;;Canapolis;CANAPOLIS;Extremo Oeste Baiano
76;Canarana;;Canarana;CANARANA;Centro-Norte Baiano
77;Canavieiras;;Canavieiras;CANAVIEIRAS;Sul Baiano
78;Candeal;;Candeal;CANDEAL;Nordeste Baiano
79;Candeias;;Candeias;CANDEIAS;Mesorregião Metropolitana de Salvador
80;Candiba;;Candiba;CANDIBA;Centro-Sul Baiano
81;Cândido Sales;;Candido Sales;CANDIDO SALES;Centro-Sul Baiano
82;Cansanção;;Cansancao;CANSANCAO;Nordeste Baiano
83;Canudos;;Canudos;CANUDOS;Nordeste Baiano
84;Capela Do Alto Alegre;;Capela Do Alto Alegre;CAPELA DO ALTO ALEGRE;Nordeste Baiano
85;Capim Grosso;;Capim Grosso;CAPIM GROSSO;Centro-Norte Baiano
86;Caraíbas;;Caraibas;CARAIBAS;Centro-Sul Baiano
87;Caravelas;;Caravelas;CARAVELAS;Sul Baiano
88;Cardeal Da Silva;;Cardeal Da Silva;CARDEAL DA SILVA;Nordeste Baiano
89;Carinhanha;;Carinhanha;CARINHANHA;Vale São-Franciscano da Bahia
90;Casa Nova;;Casa Nova;CASA NOVA;Vale São-Franciscano da Bahia
91;Castro Alves;;Castro Alves;CASTRO ALVES;Mesorregião Metropolitana de Salvador
92;Catolândia;;Catolandia;CATOLANDIA;Extremo Oeste Baiano
93;Catu;;Catu;CATU;Mesorregião Metropolitana de Salvador
94;Caturama;;Caturama;CATURAMA;Centro-Sul Baiano
95;Central;;Central;CENTRAL;Centro-Norte Baiano
96;Chorrochó;;Chorrocho;CHORROCHO;Vale São-Franciscano da Bahia
97;Cícero Dantas;;Cicero Dantas;CICERO DANTAS;Nordeste Baiano
98;Cipó;;Cipo;CIPO;Nordeste Baiano
99;Coaraci;;Coaraci;COARACI;Sul Baiano
100;Cocos;;Cocos;COCOS;Extremo Oeste Baiano
101;Conceição Da Feira;;Conceicao Da Feira;CONCEICAO DA FEIRA;Centro-Norte Baiano
102;Conceição Do Almeida;;Conceicao Do Almeida;CONCEICAO DO ALMEIDA;Mesorregião Metropolitana de Salvador
103;Conceição Do Coité;;Conceicao Do Coite;CONCEICAO DO COITE;Nordeste Baiano
104;Conceição Do Jacuípe;;Conceicao Do Jacuipe;CONCEICAO DO JACUIPE;Centro-Norte Baiano
105;Conde;;Conde;CONDE;Nordeste Baiano
106;Condeúba;;Condeuba;CONDEUBA;Centro-Sul Baiano
107;Contendas Do Sincorá;;Contendas Do Sincora;CONTENDAS DO SINCORA;Centro-Sul Baiano
108;Coração De Maria;;Coracao De Maria;CORACAO DE MARIA;Centro-Norte Baiano
109;Cordeiros;;Cordeiros;CORDEIROS;Centro-Sul Baiano
110;Coribe;;Coribe;CORIBE;Extremo Oeste Baiano
111;Coronel João Sá;;Coronel Joao Sa;CORONEL JOAO SA;Nordeste Baiano
112;Correntina;;Correntina;CORRENTINA;Extremo Oeste Baiano
113;Cotegipe;;Cotegipe;COTEGIPE;Extremo Oeste Baiano
114;Cravolândia;;Cravolandia;CRAVOLANDIA;Centro-Sul Baiano
115;Crisópolis;;Crisopolis;CRISOPOLIS;Nordeste Baiano
116;Cristópolis;;Cristopolis;CRISTOPOLIS;Extremo Oeste Baiano
117;Cruz Das Almas;;Cruz Das Almas;CRUZ DAS ALMAS;Mesorregião Metropolitana de Salvador
118;Curaçá;;Curaca;CURACA;Vale São-Franciscano da Bahia
119;Dário Meira;;Dario Meira;DARIO MEIRA;Centro-Sul Baiano
120;Dias D'ávila;;Dias D'avila;DIAS D'AVILA;Mesorregião Metropolitana de Salvador
121;Dom Basílio;;Dom Basilio;DOM BASILIO;Centro-Sul Baiano
122;Dom Macedo Costa;;Dom Macedo Costa;DOM MACEDO COSTA;Mesorregião Metropolitana de Salvador
123;Elísio Medrado;;Elisio Medrado;ELISIO MEDRADO;Centro-Norte Baiano
124;Encruzilhada;;Encruzilhada;ENCRUZILHADA;Centro-Sul Baiano
125;Entre Rios;;Entre Rios;ENTRE RIOS;Nordeste Baiano
126;Esplanada;;Esplanada;ESPLANADA;Nordeste Baiano
127;Euclides Da Cunha;;Euclides Da Cunha;EUCLIDES DA CUNHA;Nordeste Baiano
128;Eunápolis;;Eunapolis;EUNAPOLIS;Sul Baiano
129;Fátima;;Fatima;FATIMA;Nordeste Baiano
130;Feira Da Mata;;Feira Da Mata;FEIRA DA MATA;Vale São-Franciscano da Bahia
131;Feira De Santana;;Feira De Santana;FEIRA DE SANTANA;Centro-Norte Baiano
132;Filadélfia;;Filadelfia;FILADELFIA;Centro-Norte Baiano
133;Firmino Alves;;Firmino Alves;FIRMINO ALVES;Sul Baiano
134;Floresta Azul;;Floresta Azul;FLORESTA AZUL;Sul Baiano
135;Formosa Do Rio Preto;;Formosa Do Rio Preto;FORMOSA DO RIO PRETO;Extremo Oeste Baiano
136;Gandu;;Gandu;GANDU;Sul Baiano
137;Gavião;;Gaviao;GAVIAO;Nordeste Baiano
138;Gentio Do Ouro;;Gentio Do Ouro;GENTIO DO OURO;Centro-Norte Baiano
139;Glória;;Gloria;GLORIA;Vale São-Franciscano da Bahia
140;Gongogi;;Gongogi;GONGOGI;Sul Baiano
141;Governador Mangabeira;;Governador Mangabeira;GOVERNADOR MANGABEIRA;Mesorregião Metropolitana de Salvador
142;Guajeru;;Guajeru;GUAJERU;Centro-Sul Baiano
143;Guanambi;;Guanambi;GUANAMBI;Centro-Sul Baiano
144;Guaratinga;;Guaratinga;GUARATINGA;Sul Baiano
145;Heliópolis;;Heliopolis;HELIOPOLIS;Nordeste Baiano
146;Iaçu;;Iacu;IACU;Centro-Norte Baiano
147;Ibiassucê;;Ibiassuce;IBIASSUCE;Centro-Sul Baiano
148;Ibicaraí;;Ibicarai;IBICARAI;Sul Baiano
149;Ibicoara;;Ibicoara;IBICOARA;Centro-Sul Baiano
150;Ibicuí;;Ibicui;IBICUI;Centro-Sul Baiano
151;Ibipeba;;Ibipeba;IBIPEBA;Centro-Norte Baiano
152;Ibipitanga;;Ibipitanga;IBIPITANGA;Centro-Sul Baiano
153;Ibiquera;;Ibiquera;IBIQUERA;Centro-Norte Baiano
154;Ibirapitanga;;Ibirapitanga;IBIRAPITANGA;Sul Baiano
155;Ibirapuã;;Ibirapua;IBIRAPUA;Sul Baiano
156;Ibirataia;;Ibirataia;IBIRATAIA;Sul Baiano
157;Ibitiara;;Ibitiara;IBITIARA;Centro-Sul Baiano
158;Ibititá;;Ibitita;IBITITA;Centro-Norte Baiano
159;Ibotirama;;Ibotirama;IBOTIRAMA;Vale São-Franciscano da Bahia
160;Ichu;;Ichu;ICHU;Nordeste Baiano
161;Igaporã;;Igapora;IGAPORA;Centro-Sul Baiano
162;Igrapiúna;;Igrapiuna;IGRAPIUNA;Sul Baiano
163;Iguaí;;Iguai;IGUAI;Centro-Sul Baiano
164;Ilhéus;;Ilheus;ILHEUS;Sul Baiano
165;Inhambupe;;Inhambupe;INHAMBUPE;Nordeste Baiano
166;Ipecaetá;;Ipecaeta;IPECAETA;Centro-Norte Baiano
167;Ipiaú;;Ipiau;IPIAU;Sul Baiano
168;Ipirá;;Ipira;IPIRA;Centro-Norte Baiano
169;Ipupiara;;Ipupiara;IPUPIARA;Centro-Sul Baiano
170;Irajuba;;Irajuba;IRAJUBA;Centro-Sul Baiano
171;Iramaia;;Iramaia;IRAMAIA;Centro-Sul Baiano
172;Iraquara;;Iraquara;IRAQUARA;Centro-Norte Baiano
173;Irará;;Irara;IRARA;Centro-Norte Baiano
174;Irecê;;Irece;IRECE;Centro-Norte Baiano
175;Itabela;;Itabela;ITABELA;Sul Baiano
176;Itaberaba;;Itaberaba;ITABERABA;Centro-Norte Baiano
177;Itabuna;;Itabuna;ITABUNA;Sul Baiano
178;Itacaré;;Itacare;ITACARE;Sul Baiano
179;Itaeté;;Itaete;ITAETE;Centro-Sul Baiano
180;Itagi;;Itagi;ITAGI;Centro-Sul Baiano
181;Itagibá;;Itagiba;ITAGIBA;Sul Baiano
182;Itagimirim;;Itagimirim;ITAGIMIRIM;Sul Baiano
183;Itaguaçu Da Bahia;;Itaguacu Da Bahia;ITAGUACU DA BAHIA;Vale São-Franciscano da Bahia
184;Itaju Do Colônia;;Itaju Do Colonia;ITAJU DO COLONIA;Sul Baiano
185;Itajuípe;;Itajuipe;ITAJUIPE;Sul Baiano
186;Itamaraju;;Itamaraju;ITAMARAJU;Sul Baiano
187;Itamari;;Itamari;ITAMARI;Sul Baiano
188;Itambé;;Itambe;ITAMBE;Centro-Sul Baiano
189;Itanagra;;Itanagra;ITANAGRA;Mesorregião Metropolitana de Salvador
190;Itanhém;;Itanhem;ITANHEM;Sul Baiano
191;Itaparica;;Itaparica;ITAPARICA;Mesorregião Metropolitana de Salvador
192;Itapé;;Itape;ITAPE;Sul Baiano
193;Itapebi;;Itapebi;ITAPEBI;Sul Baiano
194;Itapetinga;;Itapetinga;ITAPETINGA;Centro-Sul Baiano
195;Itapicuru;;Itapicuru;ITAPICURU;Nordeste Baiano
196;Itapitanga;;Itapitanga;ITAPITANGA;Sul Baiano
197;Itaquara;;Itaquara;ITAQUARA;Centro-Sul Baiano
198;Itarantim;;Itarantim;ITARANTIM;Centro-Sul Baiano
199;Itatim;;Itatim;ITATIM;Centro-Norte Baiano
200;Itiruçu;;Itirucu;ITIRUCU;Centro-Sul Baiano
201;Itiúba;;Itiuba;ITIUBA;Centro-Norte Baiano
202;Itororó;;Itororo;ITORORO;Centro-Sul Baiano
203;Ituaçu;;Ituacu;ITUACU;Centro-Sul Baiano
204;Ituberá;;Itubera;ITUBERA;Sul Baiano
205;Iuiú;;Iuiu;IUIU;Centro-Sul Baiano
206;Jaborandi;;Jaborandi;JABORANDI;Extremo Oeste Baiano
207;Jacaraci;;Jacaraci;JACARACI;Centro-Sul Baiano
208;Jacobina;;Jacobina;JACOBINA;Centro-Norte Baiano
209;Jaguaquara;;Jaguaquara;JAGUAQUARA;Centro-Sul Baiano
210;Jaguarari;;Jaguarari;JAGUARARI;Centro-Norte Baiano
211;Jaguaripe;;Jaguaripe;JAGUARIPE;Mesorregião Metropolitana de Salvador
212;Jandaíra;;Jandaira;JANDAIRA;Nordeste Baiano
213;Jequié;;Jequie;JEQUIE;Centro-Sul Baiano
214;Jeremoabo;;Jeremoabo;JEREMOABO;Nordeste Baiano
215;Jiquiriçá;;Jiquirica;JIQUIRICA;Centro-Sul Baiano
216;Jitaúna;;Jitauna;JITAUNA;Centro-Sul Baiano
217;João Dourado;;Joao Dourado;JOAO DOURADO;Centro-Norte Baiano
218;Juazeiro;;Juazeiro;JUAZEIRO;Vale São-Franciscano da Bahia
219;Jucuruçu;;Jucurucu;JUCURUCU;Sul Baiano
220;Jussara;;Jussara;JUSSARA;Centro-Norte Baiano
221;Jussari;;Jussari;JUSSARI;Sul Baiano
222;Jussiape;;Jussiape;JUSSIAPE;Centro-Sul Baiano
